Evento,Lugar,Fecha,Orden,Track,Tipo,Programa Evento,Autor,Título,Video,Palabras clave,Descripción,Recursos
PyDay 2022,Online,2022-07-16,06,,Charla,https://pyday.cl/#programa,César Riat,"Inteligencia Artificial para prevenir el Dengue, Zika y Chikungunya",https://youtu.be/Dy0SSE8uk-Y?t=7636, ,,
PyDay 2022,Online,2022-07-16,07,,Charla,https://pyday.cl/#programa,Alison Orellana Rios,Manejo de imágenes con Visión Computacional,https://youtu.be/Dy0SSE8uk-Y?t=8885, ,,
PyDay 2022,Online,2022-07-16,08,,Charla,https://pyday.cl/#programa,Diego Saavedra,Uso de Quarto en la enseñanza de pensamiento computacional.,https://youtu.be/Dy0SSE8uk-Y?t=10117, ,,
PyDay 2022,Online,2022-07-16,09,,Charla,https://pyday.cl/#programa,César Hormazábal,Decoradores para mejorar el código,https://youtu.be/Dy0SSE8uk-Y?t=11350, ,,
PyDay 2022,Online,2022-07-16,10,,Charla,https://pyday.cl/#programa,Carlos Arancibia,Mejorando la confiabilidad de los datos con dbt,https://youtu.be/Dy0SSE8uk-Y?t=17825, ,,
PyDay 2022,Online,2022-07-16,11,,Charla,https://pyday.cl/#programa,Jose Arnulfo Reyes;José Ramirez ,Porqué todos los programadores deberían participar en una comunidad,https://youtu.be/Dy0SSE8uk-Y?t=19028, ,,
PyDay 2022,Online,2022-07-16,12,,Charla,https://pyday.cl/#programa,Eladio Garcia,Como potenciar el marketing de tu empresa utilizando Odoo / Python,https://youtu.be/Dy0SSE8uk-Y?t=20824, ,,
PyDay 2022,Online,2022-07-16,13,,Charla,https://pyday.cl/#programa,Estephani Rivera Jaramillo,Exploración de Datos con Python,https://youtu.be/Dy0SSE8uk-Y?t=23448, ,,
PyDay 2022,Online,2022-07-16,14,,Charla,https://pyday.cl/#programa,Renzo Cáceres Rossi,"Introducción a RMarkdown, creando reportes con Python en RStudio",https://youtu.be/Dy0SSE8uk-Y?t=24834, ,,
PyDay 2022,Online,2022-07-16,15,,Charla,https://pyday.cl/#programa,Juan Perozo,Construyendo nuestra torre de Babel: Django + Singer ETL + Airflow. Otro proceso ETL mas,https://youtu.be/Dy0SSE8uk-Y?t=26036, ,,
PyDay 2022,Online,2022-07-16,16,,Charla,https://pyday.cl/#programa,Diego Caceres Solis,Python en Ciberseguridad,https://youtu.be/Dy0SSE8uk-Y?t=26882, ,,
PyDay 2022,Valparaíso,2022-07-15,,,Taller,https://pyday.cl/#programa,Steph Orellana,Introducción al Análisis de Datos Geoespaciales con Python,Sin registro, ,,
PyDay 2022,Valparaíso,2022-07-15,,,Taller,https://pyday.cl/#programa,Sebastian Flores,Construye una webapp multipágina con streamlit - for dummies,Sin registro, ,,
Meetups 2022,Online,2022-01-27,1,,Meetup,No aplica,Franco Milanese,Python + InfluxDB en contenedores Dockers,https://youtu.be/fm2-PQFrwpE?t=316, ,,
Meetups 2022,Online,2022-01-27,2,,Meetup,No aplica,Dario Macchi,Calidad en contextos ágiles,https://youtu.be/fm2-PQFrwpE?t=2144, ,,
Meetups 2022,Online,2022-02-24,1,,Meetup,No aplica,Andrés Ríos,Analytics Factory: Como optimizar para iterar rápido,https://youtu.be/YTsq2owOzyo?t=263, ,,
Meetups 2022,Online,2022-02-24,2,,Meetup,No aplica,Camilo Chacón,Aprendizaje a través de grafos: Graph Neural Networks,https://youtu.be/YTsq2owOzyo?t=1646, ,,
Meetups 2022,Online,2022-03-24,1,,Meetup,No aplica,Cárlos Gómez,Haz tu código mas elegante con Functools,https://youtu.be/9iiH4TnCFUE?t=273, ,,
Meetups 2022,Online,2022-03-24,2,,Meetup,No aplica,Federico Garza,El auto ARIMA más rápido de Python: construir benchmarks estadísticos para series de tiempo nunca ha sido más sencillo,https://youtu.be/9iiH4TnCFUE?t=1931, ,,
Meetups 2022,Online,2022-04-28,1,,Meetup,No aplica,David Farinango,Introducción a la estadística bayesiana y un caso de uso en marketing,https://youtu.be/UxYg0ira1g8?t=131,David de Ecuador! nombre correcto?,,
Meetups 2022,Online,2022-04-28,2,,Meetup,No aplica,Priscila Cejas,Machine Learning - Forecasting,Sin registro?,,,
Meetups 2022,Online,2022-05-26,1,,Meetup,No aplica,Diego Cáceres,CRUD con Django y Python,https://youtu.be/mSAhkcSRdNY?t=246,,,
Meetups 2022,Online,2022-05-26,2,,Meetup,No aplica,Denny Pérez; Cristián Maureira-Fredes,Resumen y Novedades PyCon US 2022,https://youtu.be/mSAhkcSRdNY?t=2108,,,
Meetups 2022,Online,2022-06-30,1,,Meetup,No aplica,Tatiana Delgadillo,Visualizando la realidad con Python: Feminicidios,https://youtu.be/CBJrQOWGxeU?t=143, ,,
Meetups 2022,Online,2022-06-30,2,,Meetup,No aplica,Elka Buitrago; Claudio Piña,Anunciando el PyDay Chile 2022,https://youtu.be/CBJrQOWGxeU?t=2107, ,,
Meetups 2022,Online,2022-08-25,1,,Meetup,No aplica,Sebastian Flores ,Streamlit en la industria,https://youtu.be/FPOQmLB7zE8?t=240, ,OBS: La descripción de la charla está equivocada,
Meetups 2022,Online,2022-08-25,2,,Meetup,No aplica,Jorge Arriagada; Stevan Luvic,Civils.ai - Una plataforma Opensource de Ingeniería Civil,https://youtu.be/FPOQmLB7zE8?t=2447, ,,
Meetups 2022,Online,2022-09-29,1,,Meetup,No aplica,Francisco Alfaro,Automatizando la documentación con MkDocs,https://youtu.be/ztCLbcYQcjs?t=302, ,,
Meetups 2022,Online,2022-09-29,2,,Meetup,No aplica,Andrés Pineda,Importancia del Test Driven Development,https://youtu.be/ztCLbcYQcjs?t=2580, ,,
Meetups 2022,Online,2022-10-27,1,,Meetup,No aplica,Fernando Smith,Generando comunidad Open Source en la Universidad Católica,https://youtu.be/artZ149FvH0?t=381, ,,
Meetups 2022,Online,2022-10-27,2,,Meetup,No aplica,Alejandro Weinstein,Minería de datos y Python,https://youtu.be/artZ149FvH0?t=1068, ,,
Easter Eggs,Online,2019-12-11,,,Entrevista,No aplica,Piragua González,Ajedrez bajo el agua,https://www.youtube.com/watch?v=2Q5A7SxqVOA, ,,
Pycon 2021,Online,2021-11-06,01,,Keynote,,Tania Allard,FOSS for fun and profit o cómo participar en código abierto y no morir en el intento,https://www.youtube.com/watch?v=8d6rZIug9LA,,,
Pycon 2021,Online,2021-11-06,02,A,Charla,https://pycon.cl/2021/#schedule,Erick Castillo Bastias,Buenas prácticas de desarrollo en Python,https://www.youtube.com/watch?v=L9NGtc61W0Q,,,https://github.com/ecastillob/pycon-chile-2021
Pycon 2021,Online,2021-11-06,03,A,Charla,https://pycon.cl/2021/#schedule,Jazna Meza Hidalgo,"¿Machine Learning, Python?, ¿qué puedo hacer?",https://www.youtube.com/watch?v=ofTNYSy3FtY,,,"• https://datos.gob.cl/
• https://es.datachile.io/
• https://mml-book.github.io/
• https://mml-book.github.io/
•  el ISLR: https://www.statlearning.com/
•  Elements of Statistical Learning: https://web.stanford.edu/~hastie/ElemStatLearn/

• Preparación certificación de IA de Huawei: https://e.huawei.com/en/talent/#/

•  https://online.stanford.edu/courses/sohs-ystatslearning-statistical-learning
• El curso es online y se basa en este libro: https://www.statlearning.com/"
Pycon 2021,Online,2021-11-06,04,A,Charla,https://pycon.cl/2021/#schedule,Pamela Illescas Maldonado,Modelo de Reinforcement learning con Python: aprendiendo desde 0,https://www.youtube.com/watch?v=5HGu6k2KXeA,,,
Pycon 2021,Online,2021-11-06,05,A,Charla,https://pycon.cl/2021/#schedule,Omar Sanseviero,Cómo construir demos de Machine Learning con Python,https://www.youtube.com/watch?v=Mg7YeWBUKbM,,,"• http://hf.co/spaces
• https://hf.co/spaces/launch
• https://hf.co/join/discord

• https://huggingface.co/spaces/flax-community/dalle-mini
• https://huggingface.co/spaces/flax-community/chef-transformer
• https://huggingface.co/spaces/nielsr/LayoutLMv2-FUNSD
• https://github.com/TheHackerLlama/charlas/blob/main/gradio_demos.ipynb

• http://hf.co/models tiene 20000 modelos Open Source compartidos por la comunidad. Casi 400 en espanol, pero podemos tener muchos mas!

• slides: https://www.canva.com/design/DAEu5fZ_wTY/Ra_T_nb4K9AJz6rz0hb43Q/view"
Pycon 2021,Online,2021-11-06,06,,Keynote,https://pycon.cl/2021/#schedule,"Alex Harasic, Sebastian Kreft, Marḱia Noel de la Paz y Daniel Márquez",Industria Tecnológica en Chile: Innovando y emprendiendo con Python,https://www.youtube.com/watch?v=bU9r9YqVPCY,,,
Pycon 2021,Online,2021-11-06,07,,Keynote,https://pycon.cl/2021/#schedule,Roberto Toro,Neuroscience & Python: BFF ❤️,https://www.youtube.com/watch?v=EUUYTspUCwA,,,
Pycon 2021,Online,2021-11-06,08,A,Charla,https://pycon.cl/2021/#schedule,Marco Muñoz,Benchmark Profesionales TI Latam,https://www.youtube.com/watch?v=j065mTRM9oU,,,https://it-talenthh.com/2021/11/04/white-paper-benchmark-profesionales-ti-latam/
Pycon 2021,Online,2021-11-06,09,A,Charla,https://pycon.cl/2021/#schedule,Fernando Irarrazaval,Introducción a los modelos bayesianos usando PyMC3,https://www.youtube.com/watch?v=0C6HnEHLaf0,,,"• https://thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00160-7/fulltext#
• https://docs.pymc.io/en/stable/nb_examples/index.html
• https://www.amazon.com/Bayesian-Statistics-Fun-Will-Kurt/dp/1593279566
• https://en.wikipedia.org/wiki/Maximum_entropy_probability_distribution
• https://twiecki.io/blog/2019/01/14/supply_chain/"
